finding_id,rule_name,severity,entity_type,entity_id,user_id,source_dataset,mitre_tactic,mitre_technique,recommended_action
FIND-000001,Malware detected,critical,device,dev-0003,user-0003,security_alerts,Execution,User Execution,"Triage alert, confirm containment, and collect endpoint evidence."
FIND-000002,Malware detected,critical,device,dev-0048,user-0048,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000003,Malware detected,critical,device,dev-0013,user-0013,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000004,Malware detected,critical,device,dev-0041,user-0041,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000005,Malware detected,critical,device,dev-0020,user-0020,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000006,Malware detected,critical,device,dev-0004,user-0004,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000007,Malware detected,critical,device,dev-0019,user-0019,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000008,Malware detected,critical,device,dev-0042,user-0042,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000009,Malware detected,critical,device,dev-0033,user-0033,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000010,Malware detected,critical,device,dev-0043,user-0043,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000011,Malware detected,critical,device,dev-0003,user-0003,endpoint_events,Execution,User Execution,Isolate host and review malware remediation status.
FIND-000012,Suspicious cloud control-plane change,critical,resource,diagnosticsettings-231,,cloud_activity,Defense Evasion,Cloud Service Dashboard,Review change authorization and restore secure configuration.
FIND-000013,Suspicious cloud control-plane change,critical,resource,diagnosticsettings-614,,cloud_activity,Defense Evasion,Cloud Service Dashboard,Review change authorization and restore secure configuration.
FIND-000014,Suspicious cloud control-plane change,critical,resource,diagnosticsettings-742,,cloud_activity,Defense Evasion,Cloud Service Dashboard,Review change authorization and restore secure configuration.
FIND-000015,Suspicious cloud control-plane change,critical,resource,diagnosticsettings-564,,cloud_activity,Defense Evasion,Cloud Service Dashboard,Review change authorization and restore secure configuration.
FIND-000016,Suspicious cloud control-plane change,critical,resource,diagnosticsettings-649,,cloud_activity,Defense Evasion,Cloud Service Dashboard,Review change authorization and restore secure configuration.
